# City IDs: 2905826, 2867164, 2947444, 2940383, 2820860, 
# Observables: Time, Tem, Pre, Hum, Tem, Pre, Hum, Tem, Pre, Hum, Tem, Pre, Hum, Tem, Pre, Hum, 
27219 273.7 1003 81 273.67 1003 83 273.72 1003 81 273.67 1003 83 271.89 1003 83 
29019 273.7 1003 83 273.67 1003 83 273.73 1003 83 273.67 1003 83 272.6 1003 83 
30821 274.15 1003 83 274.15 1003 83 274.15 1003 83 274.15 1003 83 272.89 1003 83 
32621 275.15 1003 83 275.15 1003 83 275.15 1003 83 275.15 1003 83 274.6 1003 83 
34422 275.15 1002 80 275.85 1002 80 275.15 1002 80 275.15 1002 80 274.52 1002 80 
36224 275.7 1002 80 275.83 1002 80 275.73 1002 80 275.67 1002 80 274.06 1002 80 
38025 276.15 1002 74 276.85 1002 74 276.15 1002 74 276.15 1002 74 274.28 1002 74 
39827 276.6 1002 97 276.82 1002 97 276.58 1002 97 276.63 1002 97 276.06 1002 97 
41628 277.15 1002 97 277.15 1002 97 277.15 1002 97 277.15 1002 97 275.9 1002 97 
43429 277.6 1002 97 277.47 1002 97 277.58 1002 97 277.63 1002 97 277.06 1002 97 
45291 278.6 1001 70 278.12 1001 70 278.58 1001 70 278.63 1001 70 277.28 1001 70 
47092 279.05 1001 65 278.79 1001 65 278.99 1001 65 279.11 1001 65 278.51 1001 65 
48954 279.06 1001 65 278.79 1001 65 278.99 1001 65 279.11 1001 65 278.28 1001 65 
50756 280.06 1001 92 279.44 1001 92 280 1001 92 280.11 1001 92 279.51 1001 92 
52557 279.6 1001 93 279.12 1001 92 279.57 1001 93 279.63 1001 93 278.89 1001 93 
54358 279.6 1001 93 279.12 1001 93 279.57 1001 93 279.63 1001 93 279.6 1001 93 
56220 279.6 1001 65 279.12 1001 65 279.58 1001 65 279.63 1001 65 279.51 1001 65 
58143 279.58 1001 65 279.11 1001 65 279.54 1001 65 279.62 1001 65 279.47 1001 65 
59944 279.55 1001 65 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 
61745 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 
63547 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 
65347 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 275.821 957.98 95 
67149 278.06 1002 70 278.11 1002 70 277.99 1002 70 278.11 1002 70 277.87 1002 70 
